Regional Virtual Station Name,Marker Longitude,Marker Latitude
"Aruba, Curacao, and Bonaire",-69.125,12.3
"Abrolhos Reefs, Brazil",-39,-17.225
"Aden, Yemen",44.925,12.775
"Al Wusta, Oman",57.9,19.625
"Andaman, India",93.15,12.725
Austral Islands,-149.1,-24.825
Bahrain,50.75,26.125
Bangka-Belitung Islands,107,-2.3
"Bassas da India, France",40.025,-21.9
Beagle Gulf,130.425,-12.775
Belize,-88.075,17.025
Bermuda,-64.825,32.35
Brunei Darussalam,114.675,5.025
"Buzios, Brazil",-41.8,-22.725
Cape Verde Islands,-24.025,15.975
Cayman Islands,-80.575,19.5
Central Bahamas,-77.425,23.9
Central Mozambique,39.55,-16.2
Central Philippines,122.225,13.95
Central Western Australia,116.9,-20.7
"Chagos Archipelago, UK",71.75,-6.2
Chesterfield Islands,158.9,-20.4
"Christmas Island, Australia",105.575,-10.375
"Clipperton Island, France",-109.2,10.3
Colombia Atlantic,-75.525,9.925
Comoros,43.8,-11.9
"Costa dos Corais, Brazil",-35.525,-9.25
Costa Rica Atlantic,-82.85,9.9
Costa Rica Pacific,-84.425,9.5
"Dhofar, Oman",55.5,17.375
"Dongsha, Taiwan",116.225,20.975
Eastern Gulf of Thailand,102.5,11.25
East Java and Bali,114.1,-6.95
East Kalimantan,117.925,0.625
East Nusa Tenggara,122.05,-9.325
"Easter Island, Chile",-109.325,-27.175
Eastern FSM,153,5.15
Eastern New Caledonia,165.975,-20.75
Eastern Persian Gulf,54.05,25.925
Eastern Philippines,123.9,10.95
Eastern Sri Lanka,81.575,8.075
Eastern Yemen,49.675,14.475
Egypt,35.575,24.325
El Salvador,-87.75,13.175
Eritrea,40.75,15.525
"Fernando de Noronha, Brazil",-33.1,-3.875
Fiji,179.35,-16.775
Florida Keys,-81.625,24.75
"Flower Garden Banks, Texas",-93.975,28.05
"Galapagos, Ecuador",-90.625,0.15
Central GBR,148.275,-19.225
Far Northern GBR,144.1,-12.675
Northern GBR,145.975,-16.1
Southern GBR,151.125,-22.625
"Gilbert Islands, Kiribati",173.2,0.35
Glorioso Islands,46.775,-11.975
"Great Nicobar, India",93.325,8.025
Guam,144.625,13.15
Gulf of Aqaba,34.625,28.6
Gulf of Carpentaria,138.85,-14.5
"Gulf of Kutch, India",69.575,22.225
Gulf of Mannar,78.975,8.85
Gulf of Oman,58.5,24.1
Gulf of Suez,33.35,28.4
"Gulf of Tadjoura, Djubouti",43.3,11.775
"Hainan Island, China",109.85,19.125
Hamelin Pool,113.95,-26.1
Main Hawaiian Islands,-157.7,20.575
Honduras,-85.85,16.7
"Hong Kong, China",114.375,22.25
Houtman Abrolhos,113.85,-28.5
Howland and Baker,-176.525,0.5
"Inhambane, Mozambique",35.975,-23
"Isla del Coco, Costa Rica",-87.075,5.55
Jamaica,-77.25,17.675
"Jazan, Saudi Arabia",41.8,17.175
